Algorithm,Size,Start_R,Start_C,Success_Rate_%,Avg_Runtime_s,Best_Fitness,Max_Fitness,Runs
Brute Force Backtracking,5,0,0,100.0,0.01131145159403483,24,24,3
Randomized Heuristic Backtracking,5,0,0,100.0,0.0001891454060872396,24,24,3
Warnsdorff Backtracking,5,0,0,100.0,0.0002979437510172526,24,24,3
Brute Force Backtracking,5,0,4,100.0,0.01883212725321452,24,24,3
Randomized Heuristic Backtracking,5,0,4,100.0,0.0,24,24,3
Warnsdorff Backtracking,5,0,4,100.0,0.0,24,24,3
Brute Force Backtracking,5,4,0,100.0,0.0,24,24,3
Randomized Heuristic Backtracking,5,4,0,100.0,0.0,24,24,3
Warnsdorff Backtracking,5,4,0,100.0,0.0003658135732014974,24,24,3
Brute Force Backtracking,5,4,4,100.0,0.0,24,24,3
Randomized Heuristic Backtracking,5,4,4,100.0,0.0,24,24,3
Warnsdorff Backtracking,5,4,4,100.0,0.0,24,24,3
Brute Force Backtracking,5,2,2,100.0,0.01298991839090983,24,24,3
Randomized Heuristic Backtracking,5,2,2,100.0,0.0,24,24,3
Warnsdorff Backtracking,5,2,2,100.0,0.0,24,24,3
Brute Force Backtracking,6,0,0,100.0,0.31212647755940753,35,35,3
Randomized Heuristic Backtracking,6,0,0,100.0,0.0002663135528564453,35,35,3
Warnsdorff Backtracking,6,0,0,100.0,0.0,35,35,3
Brute Force Backtracking,6,0,5,100.0,0.07174420356750488,35,35,3
Randomized Heuristic Backtracking,6,0,5,100.0,0.0002581278483072917,35,35,3
Warnsdorff Backtracking,6,0,5,100.0,0.00034157435099283856,35,35,3
Brute Force Backtracking,6,5,0,100.0,0.007143815358479817,35,35,3
Randomized Heuristic Backtracking,6,5,0,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,5,0,100.0,0.0,35,35,3
Brute Force Backtracking,6,5,5,100.0,0.21969064076741537,35,35,3
Randomized Heuristic Backtracking,6,5,5,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,5,5,100.0,0.0,35,35,3
Brute Force Backtracking,6,2,2,100.0,2.9300342400868735,35,35,3
Randomized Heuristic Backtracking,6,2,2,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,2,2,100.0,0.0,35,35,3
GA Classic,5,0,0,0.0,3.719489336013794,20,24,3
GA Optimized,5,0,0,66.66666666666666,1.0088274478912354,24,24,3
GA Elitism,5,0,0,100.0,0.012068351109822592,24,24,3
Cultural Algorithm,5,0,0,100.0,0.012264251708984375,24,24,3
GA Classic,5,0,4,0.0,3.9874324003855386,20,24,3
GA Optimized,5,0,4,100.0,0.7960444291432699,24,24,3
GA Elitism,5,0,4,100.0,0.012484391530354818,24,24,3
Cultural Algorithm,5,0,4,100.0,0.020691076914469402,24,24,3
GA Classic,5,4,0,0.0,3.4045146306355796,20,24,3
GA Optimized,5,4,0,100.0,0.11472225189208984,24,24,3
GA Elitism,5,4,0,100.0,0.01215362548828125,24,24,3
Cultural Algorithm,5,4,0,100.0,0.013746261596679688,24,24,3
GA Classic,5,4,4,0.0,3.5031588077545166,18,24,3
GA Optimized,5,4,4,100.0,0.1029510498046875,24,24,3
GA Elitism,5,4,4,100.0,0.013254642486572266,24,24,3
Cultural Algorithm,5,4,4,100.0,0.008518298467000326,24,24,3
GA Classic,5,2,2,0.0,3.2694220542907715,19,24,3
GA Optimized,5,2,2,66.66666666666666,1.006575584411621,24,24,3
GA Elitism,5,2,2,100.0,0.010958433151245117,24,24,3
Cultural Algorithm,5,2,2,100.0,0.012187719345092773,24,24,3
GA Classic,6,0,0,0.0,4.391882578531901,25,35,3
GA Optimized,6,0,0,33.33333333333333,2.405116319656372,35,35,3
GA Elitism,6,0,0,100.0,0.018233378728230793,35,35,3
Cultural Algorithm,6,0,0,100.0,0.013989607493082682,35,35,3
GA Classic,6,0,5,0.0,5.039172331492106,25,35,3
GA Optimized,6,0,5,66.66666666666666,2.2145052750905356,35,35,3
GA Elitism,6,0,5,100.0,0.022809664408365887,35,35,3
Cultural Algorithm,6,0,5,100.0,0.021409988403320312,35,35,3
GA Classic,6,5,0,0.0,4.4288004239400225,25,35,3
GA Optimized,6,5,0,0.0,3.7630229791005454,34,35,3
GA Elitism,6,5,0,100.0,0.023402849833170574,35,35,3
Cultural Algorithm,6,5,0,100.0,0.01941068967183431,35,35,3
GA Classic,6,5,5,0.0,4.456957499186198,27,35,3
GA Optimized,6,5,5,0.0,9.577359676361084,34,35,3
GA Elitism,6,5,5,100.0,0.035763184229532875,35,35,3
Cultural Algorithm,6,5,5,100.0,0.02771584192911784,35,35,3
GA Classic,6,2,2,0.0,12.530253251393637,26,35,3
GA Optimized,6,2,2,0.0,10.540020624796549,34,35,3
GA Elitism,6,2,2,100.0,0.04947360356648763,35,35,3
Cultural Algorithm,6,2,2,100.0,0.03669985135396322,35,35,3
GA Classic,7,0,0,0.0,15.166220506032309,35,48,3
GA Optimized,7,0,0,0.0,12.245218833287558,47,48,3
GA Elitism,7,0,0,100.0,0.09448671340942383,48,48,3
Cultural Algorithm,7,0,0,100.0,0.027167002360026043,48,48,3
GA Classic,7,0,6,0.0,15.996880531311035,34,48,3
GA Optimized,7,0,6,0.0,10.279259284337362,47,48,3
GA Elitism,7,0,6,100.0,0.07275048891703288,48,48,3
Cultural Algorithm,7,0,6,100.0,0.03801687558492025,48,48,3
GA Classic,7,6,0,0.0,16.304903666178387,34,48,3
GA Optimized,7,6,0,0.0,4.593918482462565,46,48,3
GA Elitism,7,6,0,100.0,0.09514872233072917,48,48,3
Cultural Algorithm,7,6,0,100.0,0.02231748898824056,48,48,3
GA Classic,7,6,6,0.0,6.037038485209147,35,48,3
GA Optimized,7,6,6,0.0,4.937011241912842,46,48,3
GA Elitism,7,6,6,100.0,0.0407723585764567,48,48,3
Cultural Algorithm,7,6,6,100.0,0.02808078130086263,48,48,3
GA Classic,7,2,2,0.0,5.785898923873901,35,48,3
GA Optimized,7,2,2,0.0,6.653044541676839,47,48,3
GA Elitism,7,2,2,100.0,0.06327605247497559,48,48,3
Cultural Algorithm,7,2,2,100.0,0.024365663528442383,48,48,3
GA Classic,8,0,0,0.0,13.978135665257772,40,63,3
GA Optimized,8,0,0,0.0,12.401059786478678,61,63,3
GA Elitism,8,0,0,100.0,0.19472765922546387,63,63,3
Cultural Algorithm,8,0,0,100.0,0.054256598154703774,63,63,3
GA Classic,8,0,7,0.0,14.675073703130087,40,63,3
GA Optimized,8,0,7,0.0,11.863530079523722,62,63,3
GA Elitism,8,0,7,100.0,2.582878828048706,63,63,3
Cultural Algorithm,8,0,7,100.0,0.051582892735799156,63,63,3
GA Classic,8,7,0,0.0,16.243770281473797,39,63,3
GA Optimized,8,7,0,0.0,15.793653964996338,60,63,3
GA Elitism,8,7,0,100.0,0.19704834620157877,63,63,3
Cultural Algorithm,8,7,0,100.0,0.057193756103515625,63,63,3
GA Classic,8,7,7,0.0,20.316478729248047,42,63,3
GA Optimized,8,7,7,0.0,16.988173802693684,62,63,3
GA Elitism,8,7,7,100.0,0.24983898798624674,63,63,3
Cultural Algorithm,8,7,7,100.0,0.09244179725646973,63,63,3
GA Classic,8,2,2,0.0,15.266187032063803,40,63,3
GA Optimized,8,2,2,0.0,6.06130321820577,60,63,3
GA Elitism,8,2,2,100.0,0.0842292308807373,63,63,3
Cultural Algorithm,8,2,2,100.0,0.03334371248881022,63,63,3
GA Classic,9,0,0,0.0,23.14917818705241,51,80,3
GA Optimized,9,0,0,0.0,18.93844699859619,76,80,3
GA Elitism,9,0,0,100.0,2.186725616455078,80,80,3
Cultural Algorithm,9,0,0,100.0,0.08315467834472656,80,80,3
GA Classic,9,0,8,0.0,22.123111804326374,48,80,3
GA Optimized,9,0,8,0.0,19.8734126885732,77,80,3
GA Elitism,9,0,8,100.0,2.703846057256063,80,80,3
Cultural Algorithm,9,0,8,100.0,0.09266805648803711,80,80,3
GA Classic,9,8,0,0.0,20.993584394454956,49,80,3
GA Optimized,9,8,0,0.0,16.810871601104736,75,80,3
GA Elitism,9,8,0,100.0,0.3554178873697917,80,80,3
Cultural Algorithm,9,8,0,100.0,0.06184029579162598,80,80,3
GA Classic,9,8,8,0.0,20.9735205968221,47,80,3
GA Optimized,9,8,8,0.0,17.31375503540039,77,80,3
GA Elitism,9,8,8,100.0,0.4334774812062581,80,80,3
Cultural Algorithm,9,8,8,100.0,0.0523221492767334,80,80,3
GA Classic,9,2,2,0.0,20.619629224141438,47,80,3
GA Optimized,9,2,2,0.0,17.18575183550517,76,80,3
GA Elitism,9,2,2,100.0,0.8880265553792318,80,80,3
Cultural Algorithm,9,2,2,100.0,0.06026864051818848,80,80,3
GA Classic,10,0,0,0.0,24.06732217470805,63,99,3
GA Optimized,10,0,0,0.0,19.531487862269085,96,99,3
GA Elitism,10,0,0,100.0,0.44296836853027344,99,99,3
Cultural Algorithm,10,0,0,100.0,0.07681186993916829,99,99,3
GA Classic,10,0,9,0.0,26.016459067662556,61,99,3
GA Optimized,10,0,9,0.0,20.277358452479046,95,99,3
GA Elitism,10,0,9,100.0,0.6840024789174398,99,99,3
Cultural Algorithm,10,0,9,100.0,0.08263500531514485,99,99,3
GA Classic,10,9,0,0.0,27.521843751271565,56,99,3
GA Optimized,10,9,0,0.0,24.007162014643352,94,99,3
GA Elitism,10,9,0,100.0,0.4413352807362874,99,99,3
Cultural Algorithm,10,9,0,100.0,0.1257953643798828,99,99,3
GA Classic,10,9,9,0.0,28.610830227533977,56,99,3
GA Optimized,10,9,9,0.0,11.23499838511149,94,99,3
GA Elitism,10,9,9,100.0,0.5504652659098307,99,99,3
Cultural Algorithm,10,9,9,100.0,0.06930049260457356,99,99,3
GA Classic,10,2,2,0.0,13.7690269947052,57,99,3
GA Optimized,10,2,2,0.0,16.046993335088093,95,99,3
GA Elitism,10,2,2,100.0,4.152328570683797,99,99,3
Cultural Algorithm,10,2,2,100.0,0.045265754063924156,99,99,3
